레시피명,재료,조리도구,레시피,식사/간식,링크,기본 조리도구,추가 조리도구
오이 참치 비빔밥,"오이 0.5개, 계란 1개, 밥 1인분, 참치 0.5캔, 스리라차 1스푼, 참기름 1스푼, 소금, 후추, 깨, *간장 1스푼, 알룰로스 1스푼",프라이팬,"1. 오이 반 개를 큼지막하게 깍둑썰기 해 준다
 2. 계란후라이를 반숙으로 구워준다
 3. 밥, 계란후라이, 오이, 참치캔 반통, 스리라차, 참기름 1T, 소금 한꼬집, 후추 한꼬집을 그릇에 넣어주면 완성 *간장 1T, 알룰로스 1T는 있을 시 추가해 준다",식사,,,
고등어 오차즈케,"고등어 구이 제품 1개, 녹차티백 1개, 밥 1인분",전자레인지,"1. 전자레인지에 고등어 구이를 데워준다
 2. 넓은 대접에 따뜻한 물을 붓고 티백을 넣어 녹차를 우려준다
 3. 우러난 녹차에 밥을 넣고 그 위에 고등어를 올리면 완성",식사,,,
오이낫또냉파스타,"간장 1스푼, 식초 0.5스푼, 올리고당 0.5스푼, 참기름 1스푼, 다진마늘, 파스타면 1인분, 오이 1개, 낫또 1팩, *계란, 김가루",냄비,"1. 간장 1T, 식초 0.5T, 올리고당 0.5T, 참기름 1T, 다진마늘은 원하는 만큼을 섞어 소스를 만들어 준다
 2. 파스타면을 삶아준다(삶는 시간은 파스타면 봉투를 참고할 것)
 3. 삶은 파스타면에 소스와 썬 오이, 낫또 1팩을 넣고 비벼주면 완성",식사,,,
동그랑땡 덮밥,"동그랑땡 2개, 식용유 1스푼, 김치 1주먹, 밥 1인분",프라이팬,"1. 프라이팬에 식용유를 두르고 동그랑땡을 익히면서 잘게 부수어 준다.
2. 김치를 잘게 잘라 프라이팬에 넣는다.
3. 다 익은 김치와 동그랑땡을 밥 위로 올리면 완성",식사,,,
우삼겹 덮밥,"우삼겹 1주먹, 밥 1인분, 양파 0.5개, 청양고추 1개, 다진마늘 약간, 굴소스 0.5스푼, 간장 1.5스푼, 맛술 1스푼, 계란 1개",프라이팬,"1. 양파와 청양고추를 채썰어 준비한다
 2. 우삼겹을 프라이팬에 볶다가 어느 정도 익으면 다진마늘 약간을 넣고 볶는다 *매운 맛을 좋아한다면 청양고추도 추가
 3. 양파도 넣어서 볶다가 굴소스 0.5T, 간장 1.5T, 맛술 1T를 넣어 볶아준다
 4. 밥 위에 우삼겹 볶음을 넣어주면 완성 *계란후라이를 좋아한다면 이 위에 얹어준다",식사,,,
김치볶음밥,"밥 1인분,  익은 김치 1컵, 설탕 1스푼, 굴소스 1스푼, 스팸 0.5캔, 대파 조금, 깨 한꼬집 -, 참기름 1스푼, 식용유 ",프라이팬,"1.김치와 스팸을 작게 썰고 기름을 두른 후라이팬에 굴소스 1T와 설탕 1T를 넣고 볶는다.
2. 김치에 노릏하게 기름이 올라오면 밥 1공기를 넣고 볶는다. 
3. 참기름 1스푼을 넣고,  대파나 깨를 올려 완성
",식사,,,
계란찜 ,"계란 3알, 물 1/3~2/3컵, 소금 2꼬집, 침치액이나 미림 1큰술, ",전자레인지,"1. 계란, 물, 소금과 참치액을 전자레인지용 찜기에 넣고 잘 섞는다.
2. 뚜껑을 덮고 3-4분 전자레인지에 돌린다. 
3. 젓가락으로 상태를 확인하고 추가로 1-2분 더 돌리면 완성
",식사,,,
스팸김밥 ,"밥 1인분, 스팸 1캔, 간장 1스푼,  미림 1스푼, 설탕 0.5스푼, 깨 1꼬집, 소금 1꼬집, 김밥김 3-5장, 식용유",프라이팬,"1.밥에 참기름·깨·소금으로 가볍게 밑간해 한김 식혀둡니다.
2.스팸은 팬에 노릇하게 굽고, 간장·미림·설탕·물로 졸여 단짠 양념을 입힌다.
3.김에 밥을 얇게 펴고, 스팸 올려 돌돌 말아 완성합니다.
",식사,,,
참치마요 유부초밥 ,"시판용 유부초밥세트, 밥, 참치 0.5~1캔, 마요네즈 1스푼, 후추 조금  ",볼,"1. 밥 한공기에 유부초밥 세트에 들어있던 기호에 맞게 단촛물과 후레이크를 넣어 섞는다.
2. 물기를 짠 유부에 밥을 넣는다.
3. 기름을 뺀 참치, 후추와 마요네즈를 섞고, 만들어뒀던 유부초밥위에 토핑으로 올리면 완성  
",식사,,,
불닭 냉면 ,"불닭볶음면 1봉지, 얼려둔 냉면 육수, 삶은 계란 1개 ",냄비,"1, 불닭볶음면의 면만 따로 삶아 찬물로 헹궈둔다
2. 소스를 넣고 섞은 다음, 냉면육수를 부워준다.
3. 기호에 맞게 계란과 오이나 육회등을 올리고, 김 후레이크를 뿌려 완성한다.
",식사,,,
